"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"X1","shapiro caminhada","shapiro rml","shapiro controle","Bartlett all","ANOVA p-value","Krustal-Wallis p-value","shapiro residuals","Normal Residuals","Tuckey rml-caminhada","Tuckey controle-caminhada","Tuckey controle-rml","Chi-Squared for Menopause","Chi-Squared for IMC","two-way ANOVA for Grupo and IMC","two-way ANOVA for Grupo and Menopausa"
"idade","0.0279784317","0.0814307232","0.0159989380","0.5832306841","0.5729151990","0.6704093393","0.0003797372","0.0000000000","0.8078253374","0.5457385192","0.9033209682",NA,NA,"0.5775931007","0.4581928623"
"imc","0.0844912687","0.0119316350","0.0279790781","0.8459079562","0.9197794394","0.9400737903","0.0002747397","0.0000000000","0.9943162498","0.9180540760","0.9539964588",NA,NA,"0.6279775880","0.9194876893"
"imccat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518","0.7305710",NA,NA
"tempdo","9.880120e-06","1.788570e-07","5.525284e-03","1.636347e-03","4.513591e-01","3.923521e-02","1.170431e-10","0.000000e+00","7.852134e-01","4.177818e-01","8.187610e-01",NA,NA,"4.487792e-01","4.505563e-01"
"menop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518","0.7305710",NA,NA
"eav8","0.03839821","0.02062567","0.03609305","0.88122945","0.10540784","0.07780825","0.18503808","1.00000000","0.44978508","0.08718644","0.62181011",NA,NA,"0.10339975","0.10815872"
"cfunc8","0.48999208","0.21637940","0.01395586","0.84548282","0.29401212","0.20275852","0.01671174","0.00000000","0.42145221","0.32843581","0.99045748",NA,NA,"0.30012079","0.29573455"
"aspfis8","4.388810e-04","4.274502e-05","1.555926e-05","7.958179e-01","6.788621e-01","5.504375e-01","3.444951e-08","0.000000e+00","9.394335e-01","6.561123e-01","8.658596e-01",NA,NA,"6.777269e-01","6.820762e-01"
"dor8","0.039127775","0.378522402","0.001170145","0.298149295","0.453170878","0.103321918","0.098990672","1.000000000","0.720615223","0.428561331","0.900372516",NA,NA,"0.453049181","0.456923630"
"estger8","0.1992600","0.3603225","0.7068759","0.2608449","0.7043699","0.5841942","0.3721601","1.0000000","0.9407160","0.8631045","0.6859934",NA,NA,"0.7076486","0.7071297"
"vit8","0.01095569","0.51822901","0.52388831","0.89199508","0.73040625","0.55097458","0.24309718","1.00000000","0.72055460","0.97613043","0.83901333",NA,NA,"0.72395210","0.73309303"
"aspsoc8","0.01876591","0.01605965","0.27491765","0.62724570","0.21412654","0.19231721","0.03674273","0.00000000","0.98140944","0.31527893","0.25519848",NA,NA,"0.22095009","0.21654305"
"emoc8","6.659738e-05","2.334320e-05","9.313636e-05","9.245768e-01","2.344755e-01","2.323183e-01","8.113417e-07","0.000000e+00","2.549808e-01","3.831873e-01","9.524272e-01",NA,NA,"2.251876e-01","2.376564e-01"
"sment8","0.53008456","0.24132585","0.57210010","0.46607023","0.61326126","0.53320126","0.07594308","1.00000000","0.97871441","0.61147766","0.75337703",NA,NA,"0.61382996","0.61655196"
"t6min8","0.913641833","0.121904856","0.718555381","0.749551979","0.005079795","0.002951877","0.338925252","1.000000000","0.186722116","0.003398220","0.258487652",NA,NA,"0.005457207","0.005396202"
