"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"X1","shapiro caminhada","shapiro rml","shapiro controle","Bartlett all","ANOVA p-value","Krustal-Wallis p-value","shapiro residuals","Normal Residuals","Tuckey rml-caminhada","Tuckey controle-caminhada","Tuckey controle-rml","Chi-Squared for Menopause","Chi-Squared for IMC","two-way ANOVA for Grupo and IMC","two-way ANOVA for Grupo and Menopausa"
"idade","0.0279784317","0.0814307232","0.0159989380","0.5832306841","0.5729151990","0.6704093393","0.0003797372","0.0000000000","0.8078253374","0.5457385192","0.9033209682",NA,NA,"0.5775931007","0.4581928623"
"imc","0.0844912687","0.0119316350","0.0279790781","0.8459079562","0.9197794394","0.9400737903","0.0002747397","0.0000000000","0.9943162498","0.9180540760","0.9539964588",NA,NA,"0.6279775880","0.9194876893"
"imccat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518","0.7305710",NA,NA
"tempdo","9.880120e-06","1.788570e-07","5.525284e-03","1.636347e-03","4.513591e-01","3.923521e-02","1.170431e-10","0.000000e+00","7.852134e-01","4.177818e-01","8.187610e-01",NA,NA,"4.487792e-01","4.505563e-01"
"menop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518","0.7305710",NA,NA
"eav16","0.18345303","0.04828289","0.20566014","0.52729966","0.03224468","0.03526456","0.10151273","1.00000000","0.78275425","0.14251095","0.03108273",NA,NA,"0.03208628","0.03234662"
"cfunc16","0.4996643","0.3399976","0.4877827","0.7755424","0.1361130","0.1161492","0.3637303","1.0000000","0.4729219","0.1174424","0.7376633",NA,NA,"0.1233449","0.1394748"
"aspfis16","7.748398e-06","1.269246e-04","6.982841e-06","3.389509e-01","3.493399e-01","5.182384e-01","4.040714e-08","0.000000e+00","9.147766e-01","3.317180e-01","6.051297e-01",NA,NA,"3.555396e-01","3.479267e-01"
"dor16","0.0475291533","0.1631250212","0.1930896026","0.6319638658","0.0004561830","0.0006780009","0.0126871893","0.0000000000","0.9996979378","0.0013535965","0.0026021772",NA,NA,"0.0004968327","0.0005034441"
"estger16","0.2076675","0.1011528","0.9863855","0.7158607","0.1942826","0.1726648","0.2146910","1.0000000","0.9866385","0.2185723","0.3236118",NA,NA,"0.1958329","0.1957472"
"vit16","0.388597748","0.733297195","0.397531633","0.363246505","0.014467762","0.009484024","0.148679245","1.000000000","0.816400053","0.061691231","0.018102169",NA,NA,"0.012857224","0.015226086"
"aspsoc16","0.096526876","0.008666901","0.020314460","0.200477600","0.007924063","0.006407932","0.097229478","1.000000000","0.930767793","0.010492167","0.040126688",NA,NA,"0.006962152","0.008023014"
"emoc16","2.150579e-05","1.331262e-05","5.472165e-05","7.089501e-01","5.324682e-02","4.333864e-02","1.535579e-06","0.000000e+00","1.895924e-01","5.425625e-02","8.748087e-01",NA,NA,"5.652975e-02","5.521892e-02"
"sment16","0.45085828","0.04979110","0.09889026","0.17905001","0.05498098","0.02454278","0.17089615","1.00000000","0.46811421","0.04277523","0.47880590",NA,NA,"0.05706484","0.05689284"
"t6min16","0.2561485636","0.3162744409","0.3605337396","0.8224153869","0.0006203722","0.0019205649","0.1951644055","1.0000000000","0.0289249865","0.0004685672","0.3760774483",NA,NA,"0.0007093694","0.0006741530"
